title,genre,cast,description
Movie 2001-340,Musical,"Salman Khan, Alia Bhatt, Ranveer Singh",A thriller that keeps you guessing until the end.
Movie 2012-143,Fantasy,"Salman Khan, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2001-444,Comedy,"Varun Dhawan, Salman Khan, Hrithik Roshan",A sci-fi adventure into uncharted realms.
Movie 2018-591,Fantasy,"Priyanka Chopra, Amitabh Bachchan",A love story across lifetimes and parallel worlds.
Movie 2017-200,Fantasy,"Kareena Kapoor, Ranveer Singh, Shah Rukh Khan",A gripping tale of revenge and redemption.
Kabir Singh,Romance,"Shahid Kapoor, Kiara Advani",A brilliant surgeon spirals into self-destruction after heartbreak.
Movie 2010-583,Action,"Salman Khan, Katrina Kaif",A police officer takes on the criminal underworld.
Movie 2012-559,Drama,"Hrithik Roshan, Shah Rukh Khan, Ajay Devgn",A historical drama based on real events.
Movie 2015-458,Comedy,"Ajay Devgn, Anushka Sharma",A love story across lifetimes and parallel worlds.
Movie 2006-657,Horror,"Ranveer Singh, Alia Bhatt",A family torn apart by secrets and fate.
Movie 2014-587,Romance,"Hrithik Roshan, Anushka Sharma, Shah Rukh Khan",A gripping tale of revenge and redemption.
Movie 2010-89,Fantasy,"Hrithik Roshan, Kareena Kapoor",A love story across lifetimes and parallel worlds.
Movie 2012-507,Action,"Amitabh Bachchan, Rajkummar Rao",A family torn apart by secrets and fate.
Movie 2012-923,Drama,"Alia Bhatt, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2011-220,Horror,"Ranveer Singh, Aamir Khan",A thriller that keeps you guessing until the end.
Movie 2016-147,Thriller,"Hrithik Roshan, Anushka Sharma, Deepika Padukone",A journey of love and sacrifice amidst chaos.
3 Idiots,Comedy,"Aamir Khan, R. Madhavan, Sharman Joshi",Three friends navigate the pressures of engineering college.
Movie 2008-633,Thriller,"Anushka Sharma, Salman Khan, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2024-727,Musical,"Katrina Kaif, Varun Dhawan, Deepika Padukone",An epic battle between good and evil.
Movie 2000-911,Fantasy,"Varun Dhawan, Katrina Kaif",A gripping tale of revenge and redemption.
Movie 2010-63,Historical,"Kareena Kapoor, Katrina Kaif, Ranveer Singh",An epic battle between good and evil.
Movie 2012-637,Historical,"Hrithik Roshan, Ajay Devgn, Anushka Sharma",A love story across lifetimes and parallel worlds.
Jawan,Action,"Shah Rukh Khan, Nayanthara",A vigilante seeks justice with a group of female allies.
Movie 2000-79,Fantasy,"Alia Bhatt, Deepika Padukone",A historical drama based on real events.
Movie 2000-625,Comedy,"Priyanka Chopra, Kareena Kapoor",A police officer takes on the criminal underworld.
Movie 2003-888,Romance,"Salman Khan, Katrina Kaif",A comedic twist on modern relationships.
Movie 2006-111,Fantasy,"Kareena Kapoor, Shah Rukh Khan",A comedic twist on modern relationships.
Movie 2002-939,Drama,"Hrithik Roshan, Ranveer Singh",A comedic twist on modern relationships.
Movie 2016-225,Drama,"Amitabh Bachchan, Deepika Padukone, Hrithik Roshan",A historical drama based on real events.
Movie 2019-670,Fantasy,"Rajkummar Rao, Amitabh Bachchan, Alia Bhatt",A comedic twist on modern relationships.
Movie 2009-244,Drama,"Kareena Kapoor, Varun Dhawan, Salman Khan",A historical drama based on real events.
Movie 2003-836,Sci-Fi,"Ranveer Singh, Amitabh Bachchan, Ajay Devgn",An epic battle between good and evil.
Movie 2019-358,Horror,"Kareena Kapoor, Katrina Kaif, Ajay Devgn",A sci-fi adventure into uncharted realms.
Movie 2024-311,Drama,"Anushka Sharma, Aamir Khan",A journey of love and sacrifice amidst chaos.
Movie 2023-934,Thriller,"Ajay Devgn, Kareena Kapoor, Ranveer Singh",A comedic twist on modern relationships.
Movie 2023-570,Fantasy,"Ranveer Singh, Salman Khan, Kareena Kapoor",A sci-fi adventure into uncharted realms.
Movie 2012-975,Romance,"Shah Rukh Khan, Katrina Kaif",A thriller that keeps you guessing until the end.
Movie 2024-753,Musical,"Salman Khan, Anushka Sharma",A journey of love and sacrifice amidst chaos.
Movie 2017-980,Comedy,"Alia Bhatt, Shah Rukh Khan, Ranveer Singh",A comedic twist on modern relationships.
Movie 2020-749,Romance,"Amitabh Bachchan, Shah Rukh Khan",A sci-fi adventure into uncharted realms.
Movie 2015-744,Horror,"Aamir Khan, Salman Khan",A sci-fi adventure into uncharted realms.
Movie 2005-656,Historical,"Alia Bhatt, Varun Dhawan, Rajkummar Rao",A journey of love and sacrifice amidst chaos.
Movie 2011-610,Action,"Ajay Devgn, Deepika Padukone",A thriller that keeps you guessing until the end.
Movie 2022-439,Horror,"Deepika Padukone, Salman Khan",A gripping tale of revenge and redemption.
Movie 2021-854,Musical,"Katrina Kaif, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2023-804,Action,"Hrithik Roshan, Deepika Padukone",A journey of love and sacrifice amidst chaos.
Movie 2018-227,Fantasy,"Salman Khan, Rajkummar Rao",A journey of love and sacrifice amidst chaos.
Movie 2025-780,Fantasy,"Rajkummar Rao, Aamir Khan, Shah Rukh Khan",A police officer takes on the criminal underworld.
Movie 2021-594,Sci-Fi,"Ranveer Singh, Ajay Devgn, Katrina Kaif",A police officer takes on the criminal underworld.
Movie 2018-877,Horror,"Rajkummar Rao, Varun Dhawan",A journey of love and sacrifice amidst chaos.
Movie 2011-584,Sci-Fi,"Varun Dhawan, Ranveer Singh",A sci-fi adventure into uncharted realms.
Movie 2003-82,Action,"Anushka Sharma, Aamir Khan, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2012-351,Musical,"Kareena Kapoor, Hrithik Roshan",A love story across lifetimes and parallel worlds.
Movie 2010-271,Comedy,"Varun Dhawan, Katrina Kaif",A thriller that keeps you guessing until the end.
Movie 2020-619,Comedy,"Varun Dhawan, Ajay Devgn",A sci-fi adventure into uncharted realms.
Movie 2006-683,Drama,"Priyanka Chopra, Alia Bhatt",A police officer takes on the criminal underworld.
Movie 2009-764,Action,"Rajkummar Rao, Katrina Kaif, Ranveer Singh",A journey of love and sacrifice amidst chaos.
Movie 2020-697,Musical,"Varun Dhawan, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2006-293,Historical,"Shah Rukh Khan, Anushka Sharma",An epic battle between good and evil.
Movie 2004-291,Horror,"Deepika Padukone, Priyanka Chopra, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2008-165,Sci-Fi,"Anushka Sharma, Alia Bhatt, Rajkummar Rao",A gripping tale of revenge and redemption.
Movie 2016-537,Sci-Fi,"Anushka Sharma, Kareena Kapoor",A historical drama based on real events.
Movie 2024-675,Drama,"Ajay Devgn, Anushka Sharma, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2015-640,Drama,"Ranveer Singh, Hrithik Roshan",A family torn apart by secrets and fate.
Movie 2008-893,Fantasy,"Ranveer Singh, Rajkummar Rao, Amitabh Bachchan",A gripping tale of revenge and redemption.
Movie 2013-326,Sci-Fi,"Deepika Padukone, Varun Dhawan, Alia Bhatt",A historical drama based on real events.
Movie 2010-219,Drama,"Priyanka Chopra, Katrina Kaif, Kareena Kapoor",A sci-fi adventure into uncharted realms.
Movie 2000-833,Historical,"Shah Rukh Khan, Anushka Sharma",A thriller that keeps you guessing until the end.
Movie 2006-449,Historical,"Priyanka Chopra, Amitabh Bachchan, Salman Khan",A gripping tale of revenge and redemption.
Dangal,Drama,"Aamir Khan, Fatima Sana Shaikh",A former wrestler trains his daughters to become champions.
Movie 2018-97,Thriller,"Rajkummar Rao, Alia Bhatt, Katrina Kaif",A comedic twist on modern relationships.
Movie 2002-107,Action,"Ranveer Singh, Varun Dhawan, Aamir Khan",A journey of love and sacrifice amidst chaos.
Movie 2005-526,Comedy,"Ajay Devgn, Deepika Padukone, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2001-782,Romance,"Hrithik Roshan, Kareena Kapoor",A thriller that keeps you guessing until the end.
Movie 2004-317,Sci-Fi,"Salman Khan, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2017-304,Comedy,"Alia Bhatt, Deepika Padukone, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2015-770,Sci-Fi,"Hrithik Roshan, Priyanka Chopra, Shah Rukh Khan",A police officer takes on the criminal underworld.
Movie 2014-301,Romance,"Deepika Padukone, Hrithik Roshan",A comedic twist on modern relationships.
Movie 2013-534,Historical,"Anushka Sharma, Kareena Kapoor, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2011-298,Romance,"Shah Rukh Khan, Deepika Padukone",A sci-fi adventure into uncharted realms.
Movie 2006-865,Romance,"Hrithik Roshan, Deepika Padukone, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2021-516,Horror,"Deepika Padukone, Ranveer Singh, Rajkummar Rao",A love story across lifetimes and parallel worlds.
Movie 2002-367,Horror,"Deepika Padukone, Amitabh Bachchan, Ajay Devgn",A thriller that keeps you guessing until the end.
Movie 2019-72,Historical,"Aamir Khan, Alia Bhatt, Deepika Padukone",A police officer takes on the criminal underworld.
Movie 2008-685,Thriller,"Alia Bhatt, Shah Rukh Khan, Ajay Devgn",A historical drama based on real events.
Movie 2001-418,Historical,"Deepika Padukone, Anushka Sharma, Ajay Devgn",A sci-fi adventure into uncharted realms.
Movie 2015-978,Historical,"Katrina Kaif, Anushka Sharma, Deepika Padukone",An epic battle between good and evil.
Movie 2003-264,Historical,"Salman Khan, Ranveer Singh, Varun Dhawan",A historical drama based on real events.
Movie 2021-438,Thriller,"Ajay Devgn, Hrithik Roshan, Amitabh Bachchan",A gripping tale of revenge and redemption.
Movie 2003-316,Thriller,"Kareena Kapoor, Katrina Kaif",An epic battle between good and evil.
Movie 2009-192,Musical,"Rajkummar Rao, Ajay Devgn, Deepika Padukone",An epic battle between good and evil.
Movie 2010-479,Action,"Katrina Kaif, Anushka Sharma",A love story across lifetimes and parallel worlds.
Movie 2016-251,Action,"Alia Bhatt, Deepika Padukone",A thriller that keeps you guessing until the end.
Movie 2018-513,Sci-Fi,"Priyanka Chopra, Katrina Kaif, Amitabh Bachchan",A sci-fi adventure into uncharted realms.
Movie 2015-16,Thriller,"Varun Dhawan, Salman Khan, Aamir Khan",A journey of love and sacrifice amidst chaos.
Movie 2011-896,Drama,"Deepika Padukone, Alia Bhatt",A journey of love and sacrifice amidst chaos.
Movie 2011-974,Romance,"Varun Dhawan, Katrina Kaif, Ranveer Singh",A journey of love and sacrifice amidst chaos.
Movie 2017-44,Musical,"Varun Dhawan, Priyanka Chopra, Amitabh Bachchan",A journey of love and sacrifice amidst chaos.
Movie 2018-617,Horror,"Aamir Khan, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2022-309,Horror,"Katrina Kaif, Salman Khan",A thriller that keeps you guessing until the end.
Movie 2020-931,Horror,"Aamir Khan, Kareena Kapoor, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2009-478,Comedy,"Aamir Khan, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2000-131,Romance,"Katrina Kaif, Priyanka Chopra",A love story across lifetimes and parallel worlds.
Movie 2007-34,Thriller,"Salman Khan, Deepika Padukone, Hrithik Roshan",A comedic twist on modern relationships.
Movie 2000-287,Action,"Anushka Sharma, Kareena Kapoor, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2012-13,Action,"Shah Rukh Khan, Ajay Devgn",A police officer takes on the criminal underworld.
Movie 2013-222,Sci-Fi,"Varun Dhawan, Anushka Sharma",A journey of love and sacrifice amidst chaos.
Movie 2008-477,Thriller,"Shah Rukh Khan, Hrithik Roshan, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2021-932,Historical,"Alia Bhatt, Ajay Devgn, Priyanka Chopra",A family torn apart by secrets and fate.
Movie 2004-707,Drama,"Rajkummar Rao, Katrina Kaif",A comedic twist on modern relationships.
Movie 2011-272,Sci-Fi,"Aamir Khan, Shah Rukh Khan",A sci-fi adventure into uncharted realms.
Movie 2007-138,Historical,"Aamir Khan, Varun Dhawan",A police officer takes on the criminal underworld.
Movie 2011-324,Romance,"Priyanka Chopra, Amitabh Bachchan",A gripping tale of revenge and redemption.
Movie 2008-503,Horror,"Priyanka Chopra, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2003-290,Musical,"Ranveer Singh, Salman Khan, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2018-747,Musical,"Ranveer Singh, Priyanka Chopra",A sci-fi adventure into uncharted realms.
Movie 2013-66,Thriller,"Rajkummar Rao, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2003-784,Sci-Fi,"Priyanka Chopra, Ranveer Singh, Deepika Padukone",A family torn apart by secrets and fate.
Movie 2025-806,Sci-Fi,"Kareena Kapoor, Alia Bhatt, Priyanka Chopra",A sci-fi adventure into uncharted realms.
Movie 2021-490,Comedy,"Deepika Padukone, Alia Bhatt",A thriller that keeps you guessing until the end.
Movie 2018-305,Horror,"Katrina Kaif, Ajay Devgn",A love story across lifetimes and parallel worlds.
Movie 2000-859,Drama,"Shah Rukh Khan, Deepika Padukone, Alia Bhatt",A police officer takes on the criminal underworld.
Movie 2009-140,Horror,"Deepika Padukone, Rajkummar Rao, Kareena Kapoor",A love story across lifetimes and parallel worlds.
Movie 2023-960,Action,"Shah Rukh Khan, Priyanka Chopra, Alia Bhatt",A journey of love and sacrifice amidst chaos.
Movie 2010-973,Musical,"Aamir Khan, Salman Khan, Varun Dhawan",A journey of love and sacrifice amidst chaos.
Movie 2015-68,Drama,"Kareena Kapoor, Priyanka Chopra",A police officer takes on the criminal underworld.
Movie 2025-364,Drama,"Katrina Kaif, Kareena Kapoor",A sci-fi adventure into uncharted realms.
Movie 2007-424,Musical,"Aamir Khan, Salman Khan",A historical drama based on real events.
Movie 2015-302,Fantasy,"Salman Khan, Alia Bhatt",A sci-fi adventure into uncharted realms.
Movie 2009-426,Historical,"Kareena Kapoor, Amitabh Bachchan",A love story across lifetimes and parallel worlds.
Movie 2022-517,Drama,"Salman Khan, Hrithik Roshan",A journey of love and sacrifice amidst chaos.
Movie 2000-105,Horror,"Amitabh Bachchan, Ajay Devgn, Shah Rukh Khan",A gripping tale of revenge and redemption.
Movie 2010-765,Action,"Deepika Padukone, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2021-412,Comedy,"Anushka Sharma, Aamir Khan",A love story across lifetimes and parallel worlds.
Movie 2013-404,Fantasy,"Shah Rukh Khan, Priyanka Chopra",A gripping tale of revenge and redemption.
Movie 2021-100,Historical,"Deepika Padukone, Priyanka Chopra",An epic battle between good and evil.
Movie 2024-545,Drama,"Anushka Sharma, Shah Rukh Khan, Hrithik Roshan",A police officer takes on the criminal underworld.
Movie 2020-151,Romance,"Priyanka Chopra, Katrina Kaif",A historical drama based on real events.
Movie 2024-181,Drama,"Hrithik Roshan, Salman Khan, Ajay Devgn",A sci-fi adventure into uncharted realms.
Movie 2018-903,Horror,"Anushka Sharma, Shah Rukh Khan",A comedic twist on modern relationships.
Movie 2014-431,Comedy,"Ajay Devgn, Ranveer Singh, Hrithik Roshan",A sci-fi adventure into uncharted realms.
Movie 2001-860,Fantasy,"Hrithik Roshan, Varun Dhawan, Alia Bhatt",A gripping tale of revenge and redemption.
Movie 2008-789,Thriller,"Ranveer Singh, Hrithik Roshan",A thriller that keeps you guessing until the end.
Movie 2024-805,Romance,"Ajay Devgn, Aamir Khan, Amitabh Bachchan",A historical drama based on real events.
Movie 2011-740,Action,"Hrithik Roshan, Alia Bhatt, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2007-450,Thriller,"Varun Dhawan, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2011-116,Musical,"Kareena Kapoor, Salman Khan, Varun Dhawan",A gripping tale of revenge and redemption.
Movie 2011-948,Sci-Fi,"Katrina Kaif, Amitabh Bachchan",An epic battle between good and evil.
Movie 2017-720,Romance,"Aamir Khan, Hrithik Roshan, Kareena Kapoor",A sci-fi adventure into uncharted realms.
Movie 2004-525,Musical,"Anushka Sharma, Ajay Devgn, Kareena Kapoor",A thriller that keeps you guessing until the end.
Movie 2007-60,Musical,"Aamir Khan, Alia Bhatt, Priyanka Chopra",A historical drama based on real events.
Movie 2007-216,Fantasy,"Varun Dhawan, Aamir Khan, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2011-12,Comedy,"Anushka Sharma, Varun Dhawan, Kareena Kapoor",A family torn apart by secrets and fate.
Movie 2000-53,Romance,"Hrithik Roshan, Ranveer Singh",A police officer takes on the criminal underworld.
Movie 2014-67,Comedy,"Ranveer Singh, Katrina Kaif, Alia Bhatt",A comedic twist on modern relationships.
Movie 2012-949,Thriller,"Kareena Kapoor, Alia Bhatt, Priyanka Chopra",A comedic twist on modern relationships.
Movie 2000-937,Action,"Hrithik Roshan, Amitabh Bachchan, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2022-907,Historical,"Alia Bhatt, Ajay Devgn, Kareena Kapoor",A family torn apart by secrets and fate.
Movie 2021-152,Fantasy,"Rajkummar Rao, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2011-870,Drama,"Hrithik Roshan, Alia Bhatt, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2016-355,Romance,"Rajkummar Rao, Hrithik Roshan, Anushka Sharma",A comedic twist on modern relationships.
Movie 2024-155,Fantasy,"Ajay Devgn, Alia Bhatt, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2006-163,Action,"Ranveer Singh, Shah Rukh Khan",A comedic twist on modern relationships.
Movie 2001-704,Musical,"Varun Dhawan, Aamir Khan",A love story across lifetimes and parallel worlds.
Movie 2019-306,Comedy,"Ajay Devgn, Alia Bhatt",A thriller that keeps you guessing until the end.
Movie 2014-249,Action,"Salman Khan, Hrithik Roshan, Rajkummar Rao",A thriller that keeps you guessing until the end.
